labels	quotes	stats	but	adj	advs	negations	survey	averagesent	proper	report	conj	comparative	superlat	questions	meme	personal	mon	modal	statives	strah	udivlen	zol	jdu	fu	ura	negati	positi	grustno	doverie	abstract_nouns	assertion_words	discourse_markers	claims	modality_words	cons	reas	purp	relat	tim	cond	passive	lentok
newsua.tsv	0	0	0	20	9	0	0	12.090909090909092	3	0	7	0	0	0	0	1	0	0	1	2	0	1	2	2	0	2	1	2	0	1	0	0	0	0	0	1	0	1	0	1	0	133
newsua.tsv	0	0	0	9	11	0	0	3.7714285714285714	3	0	4	0	0	0	0	1	0	0	5	2	0	1	3	5	1	5	3	4	4	2	0	0	0	0	0	1	0	1	0	5	0	132
newsua.tsv	0	0	0	27	24	0	0	17.416666666666668	4	0	9	0	0	0	0	1	0	0	1	2	0	1	1	4	1	4	2	2	1	2	0	0	0	0	0	1	0	1	0	2	0	209
newsua.tsv	2	0	0	31	6	2	0	21.714285714285715	7	0	10	0	0	0	1	1	0	0	0	4	1	2	3	1	6	6	11	2	10	12	2	2	3	0	0	0	2	2	0	0	0	152
newsua.tsv	3	0	1	0	0	0	0	18.647058823529413	0	0	0	1	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	66	2	0	0	0	0	0	0	0	0	0	0	317
newsua.tsv	24	0	0	0	0	0	0	23.14814814814815	0	0	0	1	0	0	0	4	0	1	1	0	0	0	0	0	0	1	0	0	0	114	5	0	0	0	0	0	0	0	0	0	0	625
newsua.tsv	0	0	0	0	0	1	0	15.4	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	77
newsua.tsv	12	0	0	0	0	3	0	23.5	0	0	0	2	0	0	1	10	0	1	6	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	0	0	0	0	0	0	329
newsua.tsv	5	0	4	0	0	0	0	20.85	0	0	0	0	0	0	0	20	0	0	7	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	417
newsua.tsv	15	0	6	109	19	13	2	13.935483870967742	21	1	16	0	0	0	0	9	1	1	5	6	1	3	10	4	8	7	10	4	10	61	5	2	6	1	0	1	9	1	0	6	0	864
newsua.tsv	21	0	32	414	83	31	0	24.657894736842106	71	4	45	4	0	0	0	22	0	8	8	27	1	17	49	6	43	23	61	15	61	199	8	0	4	6	0	1	29	11	0	32	1	2811
newsua.tsv	13	0	1	69	14	7	0	15.193548387096774	16	0	13	1	0	0	0	3	0	0	4	4	0	1	2	2	0	3	9	2	9	8	2	0	0	0	0	1	1	5	0	4	0	471
newsua.tsv	0	0	2	206	41	19	0	19.945205479452056	38	0	25	4	0	0	0	4	0	0	7	9	3	8	8	6	5	13	29	10	22	52	5	6	4	0	0	3	14	7	0	13	0	1456
newsua.tsv	28	0	4	259	62	22	0	16.640449438202246	36	0	20	1	0	0	0	11	1	2	6	16	0	12	23	4	16	9	26	7	32	54	1	2	2	8	0	4	10	9	1	15	0	1481
newsua.tsv	8	0	5	166	14	12	0	16.724137931034484	16	0	14	3	0	0	0	1	0	4	3	6	2	5	5	2	4	10	18	5	9	29	1	2	1	4	0	1	8	5	0	14	0	970
newsua.tsv	16	0	16	195	43	28	3	18.397435897435898	36	3	30	0	0	0	0	8	1	1	6	10	1	7	8	3	6	12	18	12	18	51	2	0	7	1	0	2	6	6	1	12	0	1435
newsua.tsv	24	0	12	207	48	27	0	17.24705882352941	41	4	20	3	1	0	0	2	1	0	9	5	1	2	11	2	6	11	17	8	22	48	3	2	16	2	0	3	7	5	0	13	0	1466
newsua.tsv	9	0	2	122	33	12	0	24.153846153846153	95	1	50	0	2	0	0	8	0	6	13	38	8	32	23	11	8	44	27	26	17	33	7	2	1	2	1	16	8	21	8	7	1	628
newsua.tsv	0	0	0	30	1	0	0	9.533333333333333	14	0	4	0	0	0	0	2	0	1	4	4	3	1	3	2	2	4	9	3	2	13	0	0	0	0	0	4	1	2	0	2	0	143
newsua.tsv	1	0	0	18	7	0	0	13.666666666666666	9	0	9	0	0	0	0	1	0	0	7	5	4	3	9	3	2	7	13	6	3	7	0	0	0	0	0	3	1	3	0	1	1	123
newsua.tsv	0	0	6	226	47	16	0	16.871559633027523	25	11	22	2	0	0	0	7	0	2	1	10	10	4	10	3	8	13	21	9	15	30	6	0	2	3	0	1	7	4	1	28	0	1839
newsua.tsv	0	0	1	110	18	10	0	16	45	0	23	0	0	0	1	3	0	0	13	12	4	9	15	5	6	18	35	8	21	18	0	4	1	1	0	8	6	9	4	7	1	496
newsua.tsv	44	0	5	194	62	15	0	14.5	134	4	99	0	0	0	2	18	0	0	29	58	18	43	74	9	52	70	88	19	67	76	0	11	16	7	0	23	10	48	6	19	6	1363
newsua.tsv	8	0	0	145	22	6	0	16.84375	56	0	28	0	0	0	0	6	0	1	14	7	2	6	22	7	11	15	40	12	33	33	0	12	3	1	0	9	1	10	5	4	1	539
